24.121.249.159 09/January/2019 06:20:54 Mozilla/5.0_(X11;_Linux_x86_64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Ubuntu_Chromium/69.0.3497.81_Chrome/69.0.3497.81_Safari/537.36 S63710622 startedcalibration
24.121.249.159 09/January/2019 06:27:33 Mozilla/5.0_(X11;_Linux_x86_64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Ubuntu_Chromium/69.0.3497.81_Chrome/69.0.3497.81_Safari/537.36 S63710622 calibrationvelocity:3.01 log:;1.38;1.66;1.95;2.24;2.53;2.82;3.1;3.01
24.121.249.159 09/January/2019 06:34:24 Mozilla/5.0_(X11;_Linux_x86_64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Ubuntu_Chromium/69.0.3497.81_Chrome/69.0.3497.81_Safari/537.36 S63710622 accstable:0.89 accunstable:0.89 objstable:0.97 objunstable:0.97 numcorrectstable:16 numcorrectunstable:16 resplog:(1,stable,2,4,1409,768,677,919)(2,unstable,6,4,1610,719,684,876)(3,stable,3,4,1782,721,702,793)(4,unstable,5,4,1814,553,712,591)(5,unstable,4,4,1638,631,786,567)(6,stable,1,4,4313,871,599,913)(7,unstable,5,3,1726,1369,990,777)(8,unstable,6,4,1421,966,658,918)(9,unstable,4,3,1620,829,811,985)(10,stable,2,3,1422,648,664,673)(11,stable,1,4,1535,712,672,720)(12,stable,3,4,1904,744,1080,952)(13,stable,1,4,1622,608,927,794)(14,unstable,5,4,1548,711,699,887)(15,stable,2,4,1720,592,759,832)(16,unstable,6,4,1708,719,567,608)(17,stable,3,4,1688,640,677,778)(18,unstable,4,4,1294,813,663,772)(19,unstable,4,4,2743,1000,863,625)(20,unstable,6,4,1900,615,599,1073)(21,unstable,5,4,1623,911,1155,808)(22,stable,1,4,1720,903,927,928)(23,stable,3,4,938,568,658,759)(24,stable,2,4,1767,1464,1040,831)(25,unstable,5,4,1420,688,857,832)(26,unstable,6,4,1523,640,736,855)(27,stable,2,4,1435,874,1471,1133)(28,stable,1,4,2057,771,789,720)(29,stable,3,3,1376,720,794,935)(30,unstable,4,4,1439,727,656,680)(31,unstable,4,4,1248,1347,645,705)(32,stable,1,4,3070,1111,633,927)(33,unstable,5,4,1420,680,608,1023)(34,stable,3,4,1899,576,3824,1055)(35,unstable,6,4,1771,814,792,786)(36,stable,2,4,1566,728,3192,912)
24.121.249.159 09/January/2019 06:35:09 Mozilla/5.0_(X11;_Linux_x86_64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Ubuntu_Chromium/69.0.3497.81_Chrome/69.0.3497.81_Safari/537.36 S63710622 age:58 gender:Male monitor:15 inch monitor, 1350x768
24.121.249.159 09/January/2019 06:35:33 Mozilla/5.0_(X11;_Linux_x86_64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Ubuntu_Chromium/69.0.3497.81_Chrome/69.0.3497.81_Safari/537.36 S63710622 whattesting:Ability to track multiple targets with distractors.
24.121.249.159 09/January/2019 06:36:27 Mozilla/5.0_(X11;_Linux_x86_64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Ubuntu_Chromium/69.0.3497.81_Chrome/69.0.3497.81_Safari/537.36 S63710622 howwell:I think I did pretty well.  I just relaxed and took a field view of the dots and then I could eliminate the distractors and focus on the targets.
24.121.249.159 09/January/2019 06:36:59 Mozilla/5.0_(X11;_Linux_x86_64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Ubuntu_Chromium/69.0.3497.81_Chrome/69.0.3497.81_Safari/537.36 S63710622 strategies:I just mentioned this in the previous question.  Trick is to relax, take in the field and put your intention to track on the targets.
24.121.249.159 09/January/2019 06:37:35 Mozilla/5.0_(X11;_Linux_x86_64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Ubuntu_Chromium/69.0.3497.81_Chrome/69.0.3497.81_Safari/537.36 S63710622 background:The first was black.  The second was a laptop on a desk in a laboratory setting.
24.121.249.159 09/January/2019 06:38:10 Mozilla/5.0_(X11;_Linux_x86_64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Ubuntu_Chromium/69.0.3497.81_Chrome/69.0.3497.81_Safari/537.36 S63710622 bkgdiff:I did not.  I was not distracted by the background. I stayed focused only on the targets.
24.121.249.159 09/January/2019 06:38:49 Mozilla/5.0_(X11;_Linux_x86_64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Ubuntu_Chromium/69.0.3497.81_Chrome/69.0.3497.81_Safari/537.36 S63710622 unstable:No, that was of no interest to me since there was no indication whatsoever that the background was of significance to my task.
24.121.249.159 09/January/2019 06:39:29 Mozilla/5.0_(X11;_Linux_x86_64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Ubuntu_Chromium/69.0.3497.81_Chrome/69.0.3497.81_Safari/537.36 S63710622 problems:There was a delay in loading the background several times that caused the dots to stutter and may have resulted in errors of my tracking those dots.
