68.100.126.200 12/February/2019 02:12:13 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_14_0)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S24408206 startedcalibration instrw:1440 instrh:691
68.100.126.200 12/February/2019 02:14:54 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_14_0)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S24408206 calibrationvelocity:1.72 log:;(7726,1);(7723,1);(7750,1);(7727,1);(7691,1.28);(7725,1.57);(7802,1.86);(7809,1.76);(7860,1.69) calibw:1440 calibh:790
68.100.126.200 12/February/2019 02:26:01 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_14_0)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S24408206 accstable:0.43 accunstable:0.38 objstable:0.82 objunstable:0.79 numcorrectstable:9 numcorrectunstable:8 resplog:(1,stable,2,4,1759,889,1003,681)(2,unstable,4,4,1830,617,938,570)(3,unstable,6,2,2121,449,408,793)(4,unstable,5,3,721,505,722,834)(5,stable,1,3,689,569,457,746)(6,stable,3,4,2056,729,618,979)(7,stable,2,4,673,753,1753,730)(8,stable,1,3,799,641,441,1331)(9,unstable,5,4,1599,778,1456,601)(10,stable,3,3,749,806,818,722)(11,unstable,4,2,619,507,713,1067)(12,unstable,6,2,1308,682,769,458)(13,stable,1,3,605,618,834,513)(14,unstable,4,3,2311,645,517,706)(15,stable,2,4,1422,995,762,770)(16,unstable,5,2,1602,860,841,576)(17,unstable,6,3,1840,649,713,1058)(18,stable,3,3,1688,1143,642,650)(19,unstable,6,2,496,1299,963,1645)(20,stable,2,1,2233,449,593,594)(21,stable,1,4,1603,730,785,458)(22,unstable,5,3,1643,530,1099,489)(23,unstable,4,4,1825,730,610,713)(24,stable,3,3,1617,610,875,1989)(25,unstable,6,4,1515,475,456,641)(26,stable,2,4,915,512,1381,514)(27,unstable,4,3,710,882,666,777)(28,unstable,5,4,1775,854,656,1361)(29,stable,3,4,1347,835,666,898)(30,stable,1,4,1625,1219,987,1507)(31,unstable,5,3,1885,1187,811,610)(32,unstable,6,3,1231,1509,722,717)(33,stable,2,3,1664,513,802,826)(34,unstable,4,3,1931,592,666,745)(35,stable,1,2,566,1042,1436,521)(36,stable,3,3,1033,779,770,835)(37,unstable,5,4,1537,579,890,810)(38,stable,3,4,704,890,731,673)(39,stable,2,3,597,1565,963,705)(40,stable,1,3,817,538,961,2356)(41,unstable,6,4,1679,754,771,970)(42,unstable,4,4,1669,778,646,953) testw:1440 testh:790
68.100.126.200 12/February/2019 02:27:08 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_14_0)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S24408206 age:25 gender:Male monitor:I don't know. 13 inches? 1260 by something. The payment for this HIT was abysmal by the way.
68.100.126.200 12/February/2019 02:28:25 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_14_0)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S24408206 whattesting:I think the experiment tested our ability to follow the dots.
68.100.126.200 12/February/2019 02:28:30 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_14_0)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S24408206 howwell:Poorly.
68.100.126.200 12/February/2019 02:29:08 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_14_0)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S24408206 strategies:I first tried following all the dots but eventually decided to just focus on three at most and guess the other one.
68.100.126.200 12/February/2019 02:29:59 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_14_0)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S24408206 background:The background images consisted of office scenes.
68.100.126.200 12/February/2019 02:30:33 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_14_0)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S24408206 bkgdiff:The office scenes just appeared to change.
68.100.126.200 12/February/2019 02:30:39 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_14_0)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S24408206 unstable:No.
68.100.126.200 12/February/2019 02:31:18 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_14_0)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S24408206 problems:No I did not. The trouble with this experiment was that it was incredibly tedious and I was mislead about the time it would take to complete it.
