76.243.113.111 14/January/2019 02:14:37 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_14_2)_AppleWebKit/605.1.15_(KHTML,_like_Gecko)_Version/12.0.2_Safari/605.1.15 S34567533 startedcalibration
76.243.113.111 14/January/2019 02:16:08 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_14_2)_AppleWebKit/605.1.15_(KHTML,_like_Gecko)_Version/12.0.2_Safari/605.1.15 S34567533 calibrationvelocity:1.26 log:;1.38;1.28;1.18;1.09;0.99;1.28;1.18 calibw:1366 calibh:705
76.243.113.111 14/January/2019 02:21:27 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_14_2)_AppleWebKit/605.1.15_(KHTML,_like_Gecko)_Version/12.0.2_Safari/605.1.15 S34567533 accstable:0.28 accunstable:0.06 objstable:0.72 objunstable:0.67 numcorrectstable:5 numcorrectunstable:1 resplog:(1,stable,1,4,778,705,690,681)(2,stable,2,3,680,650,537,914)(3,unstable,4,3,496,737,818,930)(4,unstable,6,2,609,818,810,834)(5,unstable,5,2,815,994,954,790)(6,stable,3,4,482,618,818,861)(7,stable,3,4,637,746,729,846)(8,unstable,4,3,633,722,633,882)(9,unstable,6,1,549,954,770,786)(10,unstable,5,4,531,1170,994,1191)(11,stable,2,4,514,713,798,762)(12,stable,1,3,838,802,629,529)(13,unstable,4,3,498,834,742,874)(14,stable,2,3,674,838,746,649)(15,unstable,6,3,503,846,858,834)(16,stable,3,3,559,693,682,625)(17,unstable,5,3,644,962,545,842)(18,stable,1,4,563,810,842,738)(19,stable,3,2,902,738,777,562)(20,unstable,5,3,394,1411,688,629)(21,unstable,4,3,545,818,974,801)(22,stable,2,3,871,698,807,905)(23,unstable,6,2,1225,728,867,746)(24,stable,1,2,635,785,794,698)(25,unstable,5,2,646,511,914,1299)(26,stable,1,1,1344,715,968,799)(27,unstable,6,2,980,665,782,764)(28,stable,2,2,461,633,760,775)(29,stable,3,3,640,1083,453,754)(30,unstable,4,3,1840,1311,577,740)(31,stable,3,2,1125,457,778,728)(32,stable,2,2,838,487,795,805)(33,unstable,6,3,1265,706,805,690)(34,unstable,5,3,488,481,710,793)(35,unstable,4,3,498,522,823,551)(36,stable,1,3,661,713,727,769) testw:1366 testh:705
76.243.113.111 14/January/2019 02:22:41 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_14_2)_AppleWebKit/605.1.15_(KHTML,_like_Gecko)_Version/12.0.2_Safari/605.1.15 S34567533 age:25 gender:Male monitor:11 inches and 1,440 by 900 pixel
76.243.113.111 14/January/2019 02:23:01 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_14_2)_AppleWebKit/605.1.15_(KHTML,_like_Gecko)_Version/12.0.2_Safari/605.1.15 S34567533 whattesting:I think this experiment was testing my memory of the different types of dots.
76.243.113.111 14/January/2019 02:23:20 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_14_2)_AppleWebKit/605.1.15_(KHTML,_like_Gecko)_Version/12.0.2_Safari/605.1.15 S34567533 howwell:I think I did very well during this study because I have a good memory.
76.243.113.111 14/January/2019 02:23:26 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_14_2)_AppleWebKit/605.1.15_(KHTML,_like_Gecko)_Version/12.0.2_Safari/605.1.15 S34567533 strategies:No.
76.243.113.111 14/January/2019 02:23:56 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_14_2)_AppleWebKit/605.1.15_(KHTML,_like_Gecko)_Version/12.0.2_Safari/605.1.15 S34567533 background:The background images were of a MacBook Air on a desk in an office setting.
76.243.113.111 14/January/2019 02:24:05 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_14_2)_AppleWebKit/605.1.15_(KHTML,_like_Gecko)_Version/12.0.2_Safari/605.1.15 S34567533 bkgdiff:No.
76.243.113.111 14/January/2019 02:24:14 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_14_2)_AppleWebKit/605.1.15_(KHTML,_like_Gecko)_Version/12.0.2_Safari/605.1.15 S34567533 unstable:Yes
76.243.113.111 14/January/2019 02:24:18 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_14_2)_AppleWebKit/605.1.15_(KHTML,_like_Gecko)_Version/12.0.2_Safari/605.1.15 S34567533 problems:No
