68.60.110.157 14/January/2019 02:32:34 Mozilla/5.0_(Windows_NT_6.3;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S38392608 startedcalibration
68.60.110.157 14/January/2019 02:34:10 Mozilla/5.0_(Windows_NT_6.3;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S38392608 calibrationvelocity:2.22 log:;1.38;1.66;1.95;2.24;2.14 calibw:1422 calibh:698
68.60.110.157 14/January/2019 02:40:44 Mozilla/5.0_(Windows_NT_6.3;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S38392608 accstable:0.72 accunstable:0.78 objstable:0.93 objunstable:0.93 numcorrectstable:13 numcorrectunstable:14 resplog:(1,stable,1,4,897,1009,1788,796)(2,stable,2,4,640,1609,715,798)(3,unstable,6,4,932,807,1193,845)(4,unstable,4,4,979,526,1766,653)(5,unstable,5,3,1198,1433,980,678)(6,stable,3,3,1564,456,682,661)(7,unstable,6,4,897,584,1964,877)(8,stable,1,3,1521,562,1749,616)(9,unstable,5,4,760,772,648,455)(10,stable,3,4,683,416,1271,1188)(11,stable,2,4,1321,561,1629,1542)(12,unstable,4,4,1333,865,523,667)(13,unstable,6,3,1620,409,966,834)(14,unstable,4,4,1606,686,813,695)(15,unstable,5,4,1027,691,388,592)(16,stable,1,3,1168,901,614,500)(17,stable,3,4,1730,826,721,1562)(18,stable,2,4,838,653,1379,753)(19,unstable,5,4,1140,500,651,604)(20,stable,3,4,932,705,890,424)(21,unstable,6,4,1488,526,581,746)(22,unstable,4,2,756,536,671,1399)(23,stable,2,4,1061,756,471,1836)(24,stable,1,4,1031,1310,2157,1011)(25,unstable,5,3,836,426,503,787)(26,stable,1,4,781,724,465,564)(27,stable,2,3,965,528,1187,702)(28,stable,3,4,759,456,1172,486)(29,unstable,6,4,888,632,510,584)(30,unstable,4,4,912,735,721,987)(31,stable,1,4,827,789,645,1678)(32,unstable,4,4,799,898,697,1040)(33,stable,3,4,1035,1410,643,1312)(34,unstable,6,4,818,1302,1145,673)(35,unstable,5,4,776,1003,567,868)(36,stable,2,3,869,511,395,1076) testw:1422 testh:698
68.60.110.157 14/January/2019 02:41:17 Mozilla/5.0_(Windows_NT_6.3;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S38392608 age:41 gender:male monitor:It's a 24&quot; television hd 720
68.60.110.157 14/January/2019 02:41:26 Mozilla/5.0_(Windows_NT_6.3;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S38392608 whattesting:vision
68.60.110.157 14/January/2019 02:41:46 Mozilla/5.0_(Windows_NT_6.3;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S38392608 howwell:I think I did fairly well. Probably above average.
68.60.110.157 14/January/2019 02:42:37 Mozilla/5.0_(Windows_NT_6.3;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S38392608 strategies:I tried to track balls looking at all the balls and not specific balls.
68.60.110.157 14/January/2019 02:42:59 Mozilla/5.0_(Windows_NT_6.3;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S38392608 background:The background was a laptop sitting on a desk.
68.60.110.157 14/January/2019 02:43:38 Mozilla/5.0_(Windows_NT_6.3;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S38392608 bkgdiff:The objects didnt change but the colors/looks may have. I didnt notice much if so.
68.60.110.157 14/January/2019 02:43:59 Mozilla/5.0_(Windows_NT_6.3;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S38392608 unstable:Before I did not. Now I do.
68.60.110.157 14/January/2019 02:44:05 Mozilla/5.0_(Windows_NT_6.3;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S38392608 problems:no
