66.214.139.14 16/January/2019 04:13:26 Mozilla/5.0_(Windows_NT_6.1;_rv:24.0)_Gecko/20100101_Firefox/24.0_AlexaToolbar/alxf-2.19 S30849534 startedcalibration instrw:1600 instrh:789
66.214.139.14 16/January/2019 04:15:19 Mozilla/5.0_(Windows_NT_6.1;_rv:24.0)_Gecko/20100101_Firefox/24.0_AlexaToolbar/alxf-2.19 S30849534 calibrationvelocity:1.57 log:;(3869,1.38);(3698,1.66);(3746,1.57);(3650,1.49) calibw:1600 calibh:789
66.214.139.14 16/January/2019 04:24:20 Mozilla/5.0_(Windows_NT_6.1;_rv:24.0)_Gecko/20100101_Firefox/24.0_AlexaToolbar/alxf-2.19 S30849534 accstable:0.89 accunstable:0.83 objstable:0.97 objunstable:0.93 numcorrectstable:16 numcorrectunstable:15 resplog:(1,unstable,6,4,1537,993,735,755)(2,stable,3,3,1404,577,1352,1555)(3,stable,1,4,2430,1205,878,993)(4,unstable,4,4,2062,848,833,1316)(5,unstable,5,4,2707,750,1043,1138)(6,stable,2,4,2329,1076,1216,831)(7,stable,1,4,1804,820,849,912)(8,stable,2,4,1926,1192,1092,784)(9,unstable,6,4,2202,936,772,769)(10,unstable,5,3,2416,1010,783,1244)(11,unstable,4,1,10764,975,1156,978)(12,stable,3,4,1417,768,672,1123)(13,stable,1,4,4466,805,1074,911)(14,unstable,5,4,1219,1281,767,1092)(15,stable,3,4,1285,1044,800,863)(16,stable,2,4,2371,1125,705,1055)(17,unstable,6,4,1201,1153,942,708)(18,unstable,4,4,827,673,820,689)(19,unstable,4,4,1694,913,847,754)(20,stable,3,4,1969,806,801,2618)(21,stable,2,3,2748,960,896,1061)(22,unstable,6,4,1584,837,712,873)(23,unstable,5,4,1118,1760,576,1053)(24,stable,1,4,1498,962,669,909)(25,stable,2,4,2180,868,624,1060)(26,unstable,5,4,2341,821,1019,1072)(27,unstable,6,4,1241,814,854,1120)(28,unstable,4,3,1336,1090,784,591)(29,stable,3,4,1372,761,1556,816)(30,stable,1,4,1686,743,924,704)(31,stable,3,4,1218,930,1263,898)(32,unstable,6,4,1195,856,704,1205)(33,unstable,4,4,1709,863,2404,1396)(34,stable,2,4,2359,767,1060,883)(35,stable,1,4,2855,2781,823,963)(36,unstable,5,4,1113,1007,944,1205) testw:1600 testh:789
66.214.139.14 16/January/2019 04:26:12 Mozilla/5.0_(Windows_NT_6.1;_rv:24.0)_Gecko/20100101_Firefox/24.0_AlexaToolbar/alxf-2.19 S30849534 age:40 gender:male monitor:42 inch, 1600x900
66.214.139.14 16/January/2019 04:27:07 Mozilla/5.0_(Windows_NT_6.1;_rv:24.0)_Gecko/20100101_Firefox/24.0_AlexaToolbar/alxf-2.19 S30849534 whattesting:I think how focus I can be, I am not sure.
66.214.139.14 16/January/2019 04:27:37 Mozilla/5.0_(Windows_NT_6.1;_rv:24.0)_Gecko/20100101_Firefox/24.0_AlexaToolbar/alxf-2.19 S30849534 howwell:I think i did average well.
66.214.139.14 16/January/2019 04:28:07 Mozilla/5.0_(Windows_NT_6.1;_rv:24.0)_Gecko/20100101_Firefox/24.0_AlexaToolbar/alxf-2.19 S30849534 strategies:No, i just stood very focused on the dots and had no distraction around me.
66.214.139.14 16/January/2019 04:29:00 Mozilla/5.0_(Windows_NT_6.1;_rv:24.0)_Gecko/20100101_Firefox/24.0_AlexaToolbar/alxf-2.19 S30849534 background:the last image was of a PC and the first one was a nature picture, but I am not very sure.
66.214.139.14 16/January/2019 04:29:26 Mozilla/5.0_(Windows_NT_6.1;_rv:24.0)_Gecko/20100101_Firefox/24.0_AlexaToolbar/alxf-2.19 S30849534 bkgdiff:yes, in the first picture was nature and second was pc.
66.214.139.14 16/January/2019 04:29:37 Mozilla/5.0_(Windows_NT_6.1;_rv:24.0)_Gecko/20100101_Firefox/24.0_AlexaToolbar/alxf-2.19 S30849534 unstable:no
66.214.139.14 16/January/2019 04:29:47 Mozilla/5.0_(Windows_NT_6.1;_rv:24.0)_Gecko/20100101_Firefox/24.0_AlexaToolbar/alxf-2.19 S30849534 problems:no
