71.112.138.80 16/January/2019 02:39:29 Mozilla/5.0_(X11;_CrOS_armv7l_11151.59.0)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.94_Safari/537.36 S42559658 startedcalibration instrw:1366 instrh:610
71.112.138.80 16/January/2019 02:41:15 Mozilla/5.0_(X11;_CrOS_armv7l_11151.59.0)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.94_Safari/537.36 S42559658 calibrationvelocity:3.51 log:;(3926,1.86);(3701,2.21);(3863,2.57);(3988,2.45);(3983,2.74);(3973,3.03);(3912,3.32);(4156,3.61);(3911,3.51) calibw:1366 calibh:768
71.112.138.80 16/January/2019 02:48:28 Mozilla/5.0_(X11;_CrOS_armv7l_11151.59.0)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.94_Safari/537.36 S42559658 accstable:0.22 accunstable:0.33 objstable:0.74 objunstable:0.79 numcorrectstable:4 numcorrectunstable:6 resplog:(1,stable,2,3,1971,1166,1223,943)(2,unstable,4,3,1701,793,1108,848)(3,unstable,6,3,978,785,1013,818)(4,stable,3,2,1684,1081,891,878)(5,unstable,5,2,1406,716,945,739)(6,stable,1,2,1501,775,957,872)(7,unstable,5,4,1371,811,746,958)(8,stable,2,2,1510,889,1108,637)(9,stable,1,3,1307,756,740,866)(10,unstable,6,2,1092,741,725,1292)(11,unstable,4,3,1329,1035,3248,950)(12,stable,3,3,1545,583,941,735)(13,unstable,6,3,659,724,734,965)(14,stable,2,3,761,796,1238,1028)(15,unstable,5,3,1323,882,794,694)(16,stable,1,4,1080,1607,787,4099)(17,unstable,4,4,1802,794,801,810)(18,stable,3,3,1088,925,859,862)(19,stable,2,3,1224,887,801,794)(20,unstable,4,3,1032,804,936,708)(21,unstable,6,4,1321,974,898,902)(22,unstable,5,4,1194,1019,1186,840)(23,stable,3,3,1538,959,819,598)(24,stable,1,4,1443,887,765,1091)(25,unstable,4,3,830,1223,880,1030)(26,stable,1,3,1401,1039,906,1080)(27,stable,2,2,643,751,1745,669)(28,unstable,5,3,1138,1191,877,753)(29,stable,3,2,797,1051,978,706)(30,unstable,6,4,1506,879,983,864)(31,unstable,6,4,1801,816,786,710)(32,stable,2,4,935,928,3134,2470)(33,unstable,5,3,2052,684,621,929)(34,stable,1,3,1295,794,734,2576)(35,stable,3,4,1111,755,694,702)(36,unstable,4,2,757,883,691,501) testw:1366 testh:768
71.112.138.80 16/January/2019 02:48:53 Mozilla/5.0_(X11;_CrOS_armv7l_11151.59.0)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.94_Safari/537.36 S42559658 age:34 gender:female monitor:I am not sure
71.112.138.80 16/January/2019 02:49:10 Mozilla/5.0_(X11;_CrOS_armv7l_11151.59.0)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.94_Safari/537.36 S42559658 whattesting:I think it was testing to see how good I did with different table angles
71.112.138.80 16/January/2019 02:49:19 Mozilla/5.0_(X11;_CrOS_armv7l_11151.59.0)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.94_Safari/537.36 S42559658 howwell:I think I did fairly well in this study
71.112.138.80 16/January/2019 02:49:31 Mozilla/5.0_(X11;_CrOS_armv7l_11151.59.0)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.94_Safari/537.36 S42559658 strategies:just trying my best to focus
71.112.138.80 16/January/2019 02:49:53 Mozilla/5.0_(X11;_CrOS_armv7l_11151.59.0)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.94_Safari/537.36 S42559658 background:it was on a table, then on the side of the table also there were different colors.
71.112.138.80 16/January/2019 02:50:17 Mozilla/5.0_(X11;_CrOS_armv7l_11151.59.0)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.94_Safari/537.36 S42559658 bkgdiff:The colors were different and how the laptop was sitting on the table was different, too
71.112.138.80 16/January/2019 02:50:24 Mozilla/5.0_(X11;_CrOS_armv7l_11151.59.0)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.94_Safari/537.36 S42559658 unstable:yes
71.112.138.80 16/January/2019 02:50:30 Mozilla/5.0_(X11;_CrOS_armv7l_11151.59.0)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.94_Safari/537.36 S42559658 problems:no
