70.189.219.67 21/January/2019 02:11:34 Mozilla/5.0_(Windows_NT_10.0;_WOW64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/62.0.3202.94_Safari/537.36 S37183689 startedcalibration instrw:1278 instrh:1020
70.189.219.67 21/January/2019 02:12:57 Mozilla/5.0_(Windows_NT_10.0;_WOW64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/62.0.3202.94_Safari/537.36 S37183689 calibrationvelocity:1.76 log:;(3307,1.38);(3322,1.28);(3308,1.57);(3296,1.86);(3298,1.76);(3302,1.68) calibw:1278 calibh:1020
70.189.219.67 21/January/2019 02:19:14 Mozilla/5.0_(Windows_NT_10.0;_WOW64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/62.0.3202.94_Safari/537.36 S37183689 accstable:0.89 accunstable:0.89 objstable:0.97 objunstable:0.96 numcorrectstable:16 numcorrectunstable:16 resplog:(1,unstable,6,4,730,965,900,965)(2,unstable,5,4,946,618,705,762)(3,unstable,4,4,1244,835,588,1310)(4,stable,3,4,1546,896,896,849)(5,stable,1,4,932,803,629,813)(6,stable,2,3,11011,569,923,1014)(7,unstable,5,4,1102,761,910,646)(8,stable,2,4,890,525,837,627)(9,stable,3,4,1143,778,516,665)(10,stable,1,4,1742,570,860,735)(11,unstable,6,2,927,1715,1210,911)(12,unstable,4,3,873,507,647,641)(13,unstable,6,4,825,753,839,500)(14,unstable,4,4,1102,758,675,998)(15,unstable,5,4,1017,703,664,653)(16,stable,1,4,689,912,753,685)(17,stable,3,4,1171,591,578,726)(18,stable,2,4,725,507,803,554)(19,stable,1,4,842,636,553,675)(20,stable,2,4,908,457,570,660)(21,unstable,5,4,734,383,1515,818)(22,stable,3,3,1139,700,1024,756)(23,unstable,4,4,1484,764,751,644)(24,unstable,6,4,1111,950,750,527)(25,stable,2,4,1038,825,514,563)(26,stable,1,4,960,625,770,863)(27,unstable,5,4,1001,491,780,746)(28,stable,3,4,1377,1014,1020,693)(29,unstable,4,4,958,459,706,634)(30,unstable,6,4,1386,673,658,664)(31,stable,2,4,922,591,1009,987)(32,unstable,6,4,1013,559,579,642)(33,unstable,5,4,1012,654,629,567)(34,unstable,4,4,884,852,533,597)(35,stable,1,4,1121,846,711,1000)(36,stable,3,4,805,541,753,591) testw:1278 testh:1020
70.189.219.67 21/January/2019 02:20:26 Mozilla/5.0_(Windows_NT_10.0;_WOW64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/62.0.3202.94_Safari/537.36 S37183689 age:34 gender:male monitor:27 inches, 1440p
70.189.219.67 21/January/2019 02:20:50 Mozilla/5.0_(Windows_NT_10.0;_WOW64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/62.0.3202.94_Safari/537.36 S37183689 whattesting:i don't know. i would have to guess some kind of memory type thing.
70.189.219.67 21/January/2019 02:21:01 Mozilla/5.0_(Windows_NT_10.0;_WOW64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/62.0.3202.94_Safari/537.36 S37183689 howwell:i think i did pretty good
70.189.219.67 21/January/2019 02:21:20 Mozilla/5.0_(Windows_NT_10.0;_WOW64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/62.0.3202.94_Safari/537.36 S37183689 strategies:no, i just stared at the cross and followed the dogs as best i could.
70.189.219.67 21/January/2019 02:22:17 Mozilla/5.0_(Windows_NT_10.0;_WOW64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/62.0.3202.94_Safari/537.36 S37183689 background:One was some kind office and the display was in the computer monitor. and the other one was something in the water? like an island vacation type thing.
70.189.219.67 21/January/2019 02:22:42 Mozilla/5.0_(Windows_NT_10.0;_WOW64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/62.0.3202.94_Safari/537.36 S37183689 bkgdiff:no i was totally focused on the boxes with the dots to notice any subtle changes to the backgrounds
70.189.219.67 21/January/2019 02:22:51 Mozilla/5.0_(Windows_NT_10.0;_WOW64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/62.0.3202.94_Safari/537.36 S37183689 unstable:no i did not
70.189.219.67 21/January/2019 02:23:04 Mozilla/5.0_(Windows_NT_10.0;_WOW64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/62.0.3202.94_Safari/537.36 S37183689 problems:i had no trouble
