76.117.182.123 30/January/2019 02:09:16 Mozilla/5.0_(Windows_NT_5.1;_rv:52.0)_Gecko/20100101_Firefox/52.0 S79457559 startedcalibration instrw:1680 instrh:917
76.117.182.123 30/January/2019 02:11:52 Mozilla/5.0_(Windows_NT_5.1;_rv:52.0)_Gecko/20100101_Firefox/52.0 S79457559 calibrationvelocity:3.01 log:;(5180,1.38);(4340,1.66);(4530,1.95);(4214,2.24);(4248,2.53);(4298,2.82);(4188,3.1);(4298,3.01) calibw:1680 calibh:917
76.117.182.123 30/January/2019 02:21:32 Mozilla/5.0_(Windows_NT_5.1;_rv:52.0)_Gecko/20100101_Firefox/52.0 S79457559 accstable:0.28 accunstable:0.39 objstable:0.78 objunstable:0.82 numcorrectstable:5 numcorrectunstable:7 resplog:(1,stable,2,3,1696,1616,2840,1744)(2,unstable,4,3,1780,952,1048,-58900)(3,unstable,5,4,2552,1110,3016,1128)(4,stable,1,4,1410,824,1896,1144)(5,stable,3,3,2284,920,1264,776)(6,unstable,6,4,1146,1008,1000,1744)(7,unstable,5,3,2442,2376,1944,784)(8,stable,3,4,2726,1360,1096,1272)(9,stable,2,3,2598,792,2736,856)(10,unstable,4,3,1446,824,1904,1424)(11,unstable,6,3,1630,1264,1896,1376)(12,stable,1,3,2326,1408,1680,1088)(13,unstable,6,4,1898,1224,1448,840)(14,stable,1,3,2742,2072,1640,960)(15,unstable,4,3,1858,2696,1312,1104)(16,unstable,5,4,1976,1424,1464,856)(17,stable,3,1,2052,1312,2592,2032)(18,stable,2,3,1820,976,968,1808)(19,unstable,5,4,1590,904,1320,904)(20,stable,1,3,2194,792,1080,944)(21,stable,3,3,3372,1968,2368,1136)(22,unstable,4,3,1336,752,2072,2008)(23,stable,2,4,1782,1328,1096,2000)(24,unstable,6,2,1266,2736,1096,1864)(25,unstable,4,3,1986,784,1208,1024)(26,unstable,5,3,1808,912,896,1000)(27,stable,1,3,2136,1432,1704,1032)(28,stable,3,4,2568,1544,1088,1328)(29,stable,2,2,2112,1088,1144,1552)(30,unstable,6,4,3260,1360,728,2024)(31,unstable,6,4,2360,1456,2488,752)(32,stable,3,3,1916,1136,1160,1944)(33,unstable,4,2,10410,2816,2648,1424)(34,unstable,5,3,2658,1008,3544,1760)(35,stable,2,4,2686,904,1136,1256)(36,stable,1,3,3442,1086,968,2016) testw:1680 testh:917
76.117.182.123 30/January/2019 02:22:39 Mozilla/5.0_(Windows_NT_5.1;_rv:52.0)_Gecko/20100101_Firefox/52.0 S79457559 age:31 gender:females monitor:20-inch, 1680x912
76.117.182.123 30/January/2019 02:23:35 Mozilla/5.0_(Windows_NT_5.1;_rv:52.0)_Gecko/20100101_Firefox/52.0 S79457559 whattesting:It was probably about testing our concentration and may have had something to do with multitasking. However, not really sure.
76.117.182.123 30/January/2019 02:24:12 Mozilla/5.0_(Windows_NT_5.1;_rv:52.0)_Gecko/20100101_Firefox/52.0 S79457559 howwell:I probably did reasonably well but I am don't know for certain.
76.117.182.123 30/January/2019 02:24:18 Mozilla/5.0_(Windows_NT_5.1;_rv:52.0)_Gecko/20100101_Firefox/52.0 S79457559 strategies:None
76.117.182.123 30/January/2019 02:24:59 Mozilla/5.0_(Windows_NT_5.1;_rv:52.0)_Gecko/20100101_Firefox/52.0 S79457559 background:I did not really notice the background as much but it did show a monitor screen on a dark backround.
76.117.182.123 30/January/2019 02:25:06 Mozilla/5.0_(Windows_NT_5.1;_rv:52.0)_Gecko/20100101_Firefox/52.0 S79457559 bkgdiff:Not really
76.117.182.123 30/January/2019 02:25:13 Mozilla/5.0_(Windows_NT_5.1;_rv:52.0)_Gecko/20100101_Firefox/52.0 S79457559 unstable:No
76.117.182.123 30/January/2019 02:25:19 Mozilla/5.0_(Windows_NT_5.1;_rv:52.0)_Gecko/20100101_Firefox/52.0 S79457559 problems:None
