subject	trial	condition	bkgid	numcorrect	rt1	rt2	rt3	rt4
S10382054	1	unstable	6	3	582	2023	1133	686
S10382054	2	stable	3	1	721	976	548	626
S10382054	3	unstable	4	3	782	950	1069	899
S10382054	4	stable	1	4	827	1302	916	948
S10382054	5	unstable	5	4	920	1271	770	1042
S10382054	6	stable	2	4	1179	1056	900	711
S10382054	7	unstable	6	4	846	670	902	721
S10382054	8	stable	2	3	680	1127	1164	812
S10382054	9	unstable	5	4	905	708	702	808
S10382054	10	stable	1	4	641	680	906	1092
S10382054	11	stable	3	4	743	599	2266	816
S10382054	12	unstable	4	4	744	540	1119	855
S10382054	13	stable	2	3	1279	1106	1673	1069
S10382054	14	unstable	4	4	1221	487	788	712
S10382054	15	unstable	5	2	848	753	876	776
S10382054	16	stable	1	4	603	860	475	753
S10382054	17	unstable	6	4	1501	873	898	650
S10382054	18	stable	3	4	539	753	717	415
S10382054	19	stable	2	3	1510	4890	448	3544
S10382054	20	stable	3	4	951	590	876	957
S10382054	21	unstable	6	2	719	1090	464	1462
S10382054	22	stable	1	4	814	995	1036	1181
S10382054	23	unstable	4	3	992	891	1707	1331
S10382054	24	unstable	5	3	637	1135	1446	929
S10382054	25	unstable	4	4	883	772	1087	1107
S10382054	26	stable	1	2	867	874	928	655
S10382054	27	unstable	6	4	829	841	1028	642
S10382054	28	stable	2	4	747	510	595	420
S10382054	29	stable	3	4	1667	760	1048	604
S10382054	30	unstable	5	3	565	793	850	882
S10382054	31	stable	2	4	495	1366	1088	824
S10382054	32	unstable	4	4	738	790	559	392
S10382054	33	stable	3	4	683	387	778	568
S10382054	34	stable	1	4	685	529	1516	1085
S10382054	35	unstable	6	4	1157	890	732	1596
S10382054	36	unstable	5	4	585	756	872	1406
S10382054	37	stable	3	3	830	1025	1015	402
S10382054	38	unstable	6	4	735	714	713	1072
S10382054	39	stable	1	4	985	868	649	779
S10382054	40	stable	2	4	694	726	599	439
S10382054	41	unstable	4	4	584	625	753	2114
S10382054	42	unstable	5	4	682	976	761	94
S11584299	1	unstable	6	2	2365	1207	1936	928
S11584299	2	stable	1	4	2176	608	553	759
S11584299	3	unstable	4	4	2298	616	784	936
S11584299	4	stable	3	4	2330	1336	560	608
S11584299	5	stable	2	2	2257	615	641	984
S11584299	6	unstable	5	4	3361	783	744	824
S11584299	7	stable	1	4	2510	616	1647	1136
S11584299	8	unstable	4	4	2600	1209	663	601
S11584299	9	unstable	6	3	2109	952	496	784
S11584299	10	stable	3	3	2363	825	825	942
S11584299	11	stable	2	4	2401	663	712	465
S11584299	12	unstable	5	4	2668	687	745	535
S11584299	13	unstable	4	4	2775	799	752	1049
S11584299	14	stable	1	4	2665	967	616	601
S11584299	15	unstable	5	4	2284	1256	536	1416
S11584299	16	unstable	6	4	2085	696	775	712
S11584299	17	stable	2	4	2896	872	1440	759
S11584299	18	stable	3	3	2415	608	840	953
S11584299	19	unstable	5	3	2148	1024	656	728
S11584299	20	stable	1	4	2271	984	1168	513
S11584299	21	stable	2	4	2225	768	768	976
S11584299	22	stable	3	4	2348	920	864	896
S11584299	23	unstable	4	4	2913	688	720	744
S11584299	24	unstable	6	4	2467	1248	576	960
S11584299	25	stable	2	3	2529	480	592	703
S11584299	26	unstable	4	4	2486	688	592	968
S11584299	27	unstable	6	4	2504	896	696	728
S11584299	28	unstable	5	3	2221	800	992	824
S11584299	29	stable	3	4	2674	600	752	816
S11584299	30	stable	1	4	3225	840	1336	792
S11584299	31	stable	2	4	2062	656	552	616
S11584299	32	unstable	4	4	2615	703	728	888
S11584299	33	stable	3	4	2518	736	864	688
S11584299	34	unstable	5	4	2558	744	672	1360
S11584299	35	unstable	6	4	2190	648	888	760
S11584299	36	stable	1	3	2430	1776	1024	808
S11584299	37	stable	1	3	2319	888	784	552
S11584299	38	unstable	4	4	1820	696	616	600
S11584299	39	unstable	5	4	1929	776	848	1184
S11584299	40	unstable	6	4	2186	1800	888	848
S11584299	41	stable	3	4	2137	592	1896	640
S11584299	42	stable	2	4	2116	712	704	61
S13777597	1	unstable	6	3	836	1148	574	799
S13777597	2	stable	1	4	706	675	1261	708
S13777597	3	stable	3	4	516	697	552	584
S13777597	4	stable	2	3	560	573	687	675
S13777597	5	unstable	4	4	1037	709	2509	911
S13777597	6	unstable	5	3	3992	687	630	831
S13777597	7	unstable	5	2	575	777	866	709
S13777597	8	stable	2	3	13002	596	866	799
S13777597	9	stable	3	2	39103	877	766	832
S13777597	10	unstable	6	3	673	742	3093	1295
S13777597	11	unstable	4	3	673	753	642	798
S13777597	12	stable	1	4	913	484	518	787
S13777597	13	unstable	5	4	491	675	551	731
S13777597	14	stable	2	2	618	900	483	788
S13777597	15	unstable	4	2	1412	1384	1676	822
S13777597	16	stable	1	3	764	540	439	528
S13777597	17	unstable	6	1	739	832	1002	1248
S13777597	18	stable	3	4	756	552	731	843
S13777597	19	unstable	6	4	1056	1924	810	3983
S13777597	20	stable	1	2	987	608	821	1294
S13777597	21	unstable	4	3	2865	1080	867	461
S13777597	22	unstable	5	2	4040	788	540	799
S13777597	23	stable	2	4	811	799	630	866
S13777597	24	stable	3	3	866	517	720	664
S13777597	25	unstable	5	2	606	989	1046	563
S13777597	26	stable	1	3	1932	721	832	1012
S13777597	27	stable	3	2	5690	888	687	619
S13777597	28	unstable	4	2	603958	910	1970	809
S13777597	29	stable	2	4	651	619	629	541
S13777597	30	unstable	6	4	1128	574	685	788
S13777597	31	stable	2	4	742	665	944	653
S13777597	32	stable	3	4	1071	1620	889	608
S13777597	33	unstable	6	4	850	496	1563	698
S13777597	34	stable	1	4	591	1395	721	798
S13777597	35	unstable	4	4	1619	1575	619	2092
S13777597	36	unstable	5	4	851	505	822	888
S13777597	37	stable	3	4	1543	529	742	945
S13777597	38	unstable	5	2	647	1339	652	2779
S13777597	39	stable	1	4	903	642	1586	541
S13777597	40	unstable	4	4	768	1463	719	991
S13777597	41	stable	2	2	2419	946	854	619
S13777597	42	unstable	6	4	1267	674	1946	62
S14519689	1	unstable	6	1	1311	1997	1296	583
S14519689	2	stable	1	3	1338	804	620	1431
S14519689	3	stable	3	4	1096	435	651	984
S14519689	4	stable	2	4	3355	738	690	1976
S14519689	5	unstable	4	4	1574	1081	542	926
S14519689	6	unstable	5	4	1081	999	658	844
S14519689	7	unstable	4	1	959	1180	866	973
S14519689	8	stable	3	2	758	723	862	852
