ip	browser	date	start	end	subject	velocity	accstable	accunstable	numstable	numunstable	age	gender	monitor	whattesting	howwell	strategies	background	bkgdiff	unstable	problems	calibw	calibh	durationMOT	durationExperiment
104.178.32.84	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64;_rv:65.0)_Gecko/20100101_Firefox/65.0	12/February/2019	02:10:58	02:30:39	S10382054	1.28	0.71	0.67	15	14	30	M	1920 x 1080	How well you can track the balls. And how well you can track the balls with a changing environment.	I think I did okay.	I tried to only focus on the balls that blinked. I would let my eyes cross and 'magic' eye in the process.	They were various desks and rooms.  One was wood colored. I was not really focused on the backgrounds.	I did not notice.	No	No	1920	944	13	20
73.120.232.92	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/72.0.3626.96_Safari/537.36	12/February/2019	02:17:17	02:33:31	S11584299	1.3	0.71	0.81	15	17	37	M	25 1080p	To see if the backgrounds changed focus.	I think I did alright.	I usually tried to focus less and watch the whole screen.	Lap settings and one with the computer hanging off the desk.	The position of the computer on the desk.	Yes	No.	1920	969	11	16
128.174.125.82	Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_13_6)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/69.0.3497.100_Safari/537.36	12/February/2019	02:43:57	03:13:39	S13777597	1.57	0.52	0.43	11	9	34	F	Im not sure, i think it's 17&quot; across?	How well you can keep track of visual stimulus	I think I scored at least 50% right.	I would move my mouse around while staring at the plus sign.	Computer sitting in an office or a forest.	I didn't pay attention.	I guess yes, I did notice this.	No	1337	1089	25	30
42.109.140.163	Mozilla/5.0_(Windows_NT_6.1;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/68.0.3440.106_Safari/537.36	12/February/2019	02:22:20	02:43:59	S14519689	1.51	0.19	0.62	4	13	30	M	1280*1024	This survey is about concentration and psychology survey.	Good	No. I have not used any strategy. I just followed the blinked circle	The background image is like a laptop	Yes, the first one is like laptop on a table. And the second one is simply black	No	No trouble faced	1280	887	13	21
172.90.249.187	Mozilla/5.0_(Windows_NT_6.1;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/72.0.3626.96_Safari/537.36	12/February/2019	03:48:07	04:03:05	S18059421	1.3	0.67	0.86	14	18	33	F	1366*657	The experiment testing the observation of target circles	I did very good and interest	None	It was nice to see	No	No	None	1366	657	11	15
108.197.194.149	Mozilla/5.0_(Windows_NT_6.1;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/72.0.3626.81_Safari/537.36	12/February/2019	02:12:40	02:29:55	S18552911	1.3	0.67	0.9	14	19	36	M	17 inch monitor. 1280 x 1024 resolution.	How well we can focus on multiple objects at the same time.	I believe I did very well.	No, I didn't.	They were indoor images that I associate with a home office.	I didn't notice any major differences.	No	No	1280	1024	10	17
23.244.210.186	Mozilla/5.0_(Windows_NT_6.1)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/72.0.3626.96_Safari/537.36	12/February/2019	02:12:14	02:40:23	S18583989	1.72	0.19	0.14	4	3	35	M	14.1 inches and 1280 x 800	this task is  psychologycially very impressive and its experiment of testing mentally ability task.	very impressive	no one im follow your instruction and its made me good one	its creative	if noticed only on task in target .	yes i noticed that very ofen	if im during in the experiment task no one troubled	1280	689	11	28
71.163.58.192	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/72.0.3626.96_Safari/537.36	12/February/2019	03:26:53	03:44:05	S21756792	2.43	0.57	0.62	12	13	23	M	27 inches, 2560x1440	I believe that this experiment was testing how well an individual can focus on and track certain objects with a specific background.	I think that I did okay, I definitely did not do perfect but I also feel as though I managed to get a majority correct.	I did not notice myself using any special strategies.	The background images mainly consisted of an office like setting. Inside of the office, there was a laptop which the white dots bounced around in.	I do not particularly think that I did notice much differing between background images. The main reasoning for this may be due to how focused I was on the bouncing dots.	I did not notice this.	I experienced no trouble with this experiment.	2560	1440	10	18
68.100.126.200	Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_14_0)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36	12/February/2019	02:12:13	02:31:18	S24408206	1.72	0.43	0.38	9	8	25	M	I don't know. 13 inches? 1260 by something. The payment for this HIT was abysmal by the way.	I think the experiment tested our ability to follow the dots.	Poorly.	I first tried following all the dots but eventually decided to just focus on three at most and guess the other one.	The background images consisted of office scenes.	The office scenes just appeared to change.	No.	No I did not. The trouble with this experiment was that it was incredibly tedious and I was mislead about the time it would take to complete it.	1440	790	12	19
179.222.148.65	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36	12/February/2019	03:01:37	03:22:51	S25351662	1.15	0.05	0.05	1	1	28	M	1250x650	How well we can track items	I think I did average or maybe a little below average.	I tried to stay focused on the cursor but many times it was difficult to keep track of the dots.	They were books on a desk it and it seemed like it was a dorm room in the background.	There may have been a slight difference in the settings but I did not pay too much attention to the background images.	No.	No	1366	657	14	21
8.34.117.224	Mozilla/5.0_(Windows_NT_6.1;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/72.0.3626.96_Safari/537.36	12/February/2019	03:13:40	03:33:52	S30775984	1.75	0.33	0.19	7	4	71	M	15 x 9.4, 1440x900	Not sure, but I learned that an eye blink is actually pretty long. :)	Think I did fair.	Just kept my eyes on the center mark and took my best shot.	I can't even *remember* them or what they looked like. One may have had a desk in it,	no	no	no	1440	767	12	20
96.236.150.159	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36	12/February/2019	02:47:45	03:06:15	S34292797	1.51	0.62	0.57	13	12	32	M	1280x720	To find out if people would be able to track the white circles over time	I think I got about 60 percent correct.	No I didnt notice any special strategy	They were computer desks and a laptop	The images were very similar. Didnt notice many differences	No	No trouble.	1920	889	14	19
73.66.114.81	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36	12/February/2019	02:44:25	03:00:03	S38942543	2.51	0.43	0.52	9	11	50	F	15&quot; monitor 1600x900 resolution	ability to focus on the balls and accurately track them? and does fatigue set in on results?	I think I did average .	no strategies at all. I just tried to follow them as best I could.	Didn't focus on them much. They appeared to be office settings but I'm not positive.	I noticed they changed but honestly I did not look at them.	Yes, the laptops were weirdly perched on the surfaces.	no trouble, but this is a lot of writing right at the end.	1503	734	11	16
