subject	trial	condition	bkgid	numcorrect	rt1	rt2	rt3	rt4
S15721548	1	stable	1	4	1443	780	811	754
S15721548	2	unstable	5	4	629	807	673	820
S15721548	3	stable	2	4	810	607	1189	646
S15721548	4	unstable	6	4	827	541	920	579
S15721548	5	unstable	4	4	1256	691	457	581
S15721548	6	stable	3	4	600	479	467	680
S15721548	7	unstable	5	4	673	619	631	650
S15721548	8	unstable	6	4	1187	999	659	1250
S15721548	9	unstable	4	4	1033	701	758	560
S15721548	10	stable	2	3	1029	696	740	903
S15721548	11	stable	1	4	1188	561	431	617
S15721548	12	stable	3	2	816	439	479	869
S15721548	13	unstable	6	4	904	601	506	746
S15721548	14	unstable	4	4	711	441	1009	650
S15721548	15	stable	3	4	1144	501	759	740
S15721548	16	stable	1	4	810	703	487	620
S15721548	17	unstable	5	4	971	419	793	618
S15721548	18	stable	2	4	761	540	539	773
S15721548	19	stable	2	4	1466	609	1040	410
S15721548	20	unstable	5	4	877	620	739	730
S15721548	21	unstable	4	4	727	568	811	459
S15721548	22	stable	3	3	855	630	801	630
S15721548	23	stable	1	4	631	778	810	402
S15721548	24	unstable	6	4	796	489	601	593
S15721548	25	stable	3	4	1226	501	517	491
S15721548	26	stable	1	4	727	570	619	473
S15721548	27	unstable	6	4	1506	401	561	439
S15721548	28	unstable	4	4	710	527	376	632
S15721548	29	stable	2	4	959	851	726	527
S15721548	30	unstable	5	4	585	478	510	581
S15721548	31	stable	1	4	1009	433	664	670
S15721548	32	stable	2	4	501	743	640	621
S15721548	33	unstable	5	4	605	637	551	639
S15721548	34	unstable	4	4	694	660	590	511
S15721548	35	stable	3	4	877	521	579	562
S15721548	36	unstable	6	2	1135	613	697	90
S15917750	1	stable	2	3	1252	788	1439	788
S15917750	2	stable	1	4	1173	927	749	828
S15917750	3	unstable	5	2	710	1074	670	927
S15917750	4	unstable	4	2	548	522	749	582
S15917750	5	unstable	6	3	2203	1320	601	966
S15917750	6	stable	3	2	912	847	798	2375
