ip	date	start	end	subject	velocity	accstable	accunstable	numstable	numunstable	age	gender	monitor	whattesting	howwell	strategies	background	bkgdiff	unstable	problems	calibw	calibh	durationMOT	durationExperiment
76.86.98.9	30/January/2019	01:38:19	01:49:10	S15721548	3.58	0.83	0.94	15	17	24	M	23 in, 1920x1080	It was an interesting experiment. It certainly made me focus hard on the balls.	I think I did about as well as anyone else.	I just tried to keep my focus on the 4 balls at all times.	The first was a picture of a lake or something. The second was a picture of a macbook	Besides it changing from a lake to a macbook, no	No I did not	none	1920	948	5	11
107.220.204.232	30/January/2019	01:22:21	01:37:00	S15917750	2.43	0.33	0.28	6	5	35	F	It's an HP laptop 2016..	I figured it was tracking eye movement. Maybe even brain processing because you have to keep track of all the dots.	I did average. It got harder as time went on. The dots moved quicker and further apart.	No, I just tried to keep track of them with my eyes. If one got lost, I would stick with the majority of dots closest together.	I think one was a picture of an outside scene and another was a picture of a computer.	I did not notice any differences. I was too focused on keeping up with the dots. That was my main objective.	Yes, I did notice that but only on the photo with the laptop.	I did not experience any problems.	1366	657	7	15
97.89.234.97	30/January/2019	04:48:24	05:00:57	S16709801	2.18	0.61	0.56	11	10	38	F	i dont know Hp laptop maybe 16 inches	A persons focus and cognition. The ability to remember the placement of the targets.	I think i did moderately well.	Not really just trying to keep focused on the targets.	I dont recall any background images.	no	no	no	1366	657	7	12
138.219.175.126	30/January/2019	02:02:14	02:15:02	S18032030	3.3	0.44	0.72	8	13	30	M	1250x650	i think this is visual attention related survey	i am doing very well in this study	carefully i just watch particular object.	background image is very nice and clearly i understand to find object	no differences for backgrounds	yes this is some stable	i like very interesting to complete this study.	1366	657	7	13
71.71.214.155	30/January/2019	01:25:37	01:38:37	S18465714	4.36	0.44	0.5	8	9	33	M	25 inches, 1440p resolution.	I guess the experiment was testing how easily or difficult it is to follow moving objects and identify the same objects after the movement has stopped?	I think I did pretty decent.	I usually just trained my eyes on the four balls and followed them as best as possible. Sometimes If they separated into two groups (two in each group), I as able to follow them much easier.	From what I remember the background images were of classrooms. I believe there were books, a globe and a chalkboard.	Some images contained different items but were the same setting, a classroom I believe. I don't remember much more.	No I did not notice that.	N/A	2048	1016	6	13
69.253.70.68	30/January/2019	02:24:06	02:44:22	S2008290	2.47	0.28	0.61	5	11	23	M	"27"", 1920 x 1080"	How we are able to focus on moving objects?	I think I did pretty well, probably average.	No, I just tried to focus my eyes in the center.	I think they were office settings with the laptop on a table.	Yes, the background changed between a closer up of the laptop, and one more far away with the screen being smaller.	No, I didn't notice that at all.	None at all.	1920	938	7	20
122.164.28.236	30/January/2019	01:24:27	01:34:09	S20771601	2.72	0.67	0.94	12	17	25	M	in fullscreen	sense of concertration	I done serously	usch that no	is good	such that slightly diffrence no more	yes	I done seriously and take my respnse	1366	768	6	10
98.202.138.130	30/January/2019	01:30:01	01:41:34	S21361836	4.23	0.39	0.39	7	7	29	M	2560x1440 27&quot;	I am unsure, something to do with attention span and demographics.	I think I did above average but not exceptional.	I did notice myself using any special strategies. I just tried to follow the dots.	A laptop over different room backgrounds.	I did not notice differences, outside of different rooms.	No I did not.	No I did not experience any trouble.	2560	1329	5	11
207.255.133.144	30/January/2019	01:22:41	01:31:26	S229708	3.65	0.56	0.72	10	13	22	M	27&quot; monitor, I am not sure about resolution	How people can track the dots	I believe I did very well	I tried to focus on one area and track the dots.	The background were office settings and library settings.	I did not.	I did not notice that	I had no trouble	1920	938	6	9
198.136.26.47	30/January/2019	01:42:19	01:54:44	S23137671	3.47	0.72	0.39	13	7	39	M	20 inch 1920x1080	I think the study is to test a person focus. It is also testing on attention span.	I think I did average.	No I just focus as hard as I can and try not to look at any specific point of the screen.	The background images were a room and the computer laptop is on the desk. I think there were some books in the background.	Some background changes in some trials, but they were all in a room with books I think.	No	No, no trouble what so ever.	1920	938	6	12
174.255.129.43	30/January/2019	05:07:15	05:22:26	S29031559	4.58	0.33	0.28	6	5	50	M	1720x1280	unknown	Not that good I feel	None	It was a laptop computer yhay was in different locations	Desktops, filing cabinets, hanging off of filing cabinets	Yes	None	1600	758	9	15
174.101.110.149	30/January/2019	02:34:18	02:50:17	S32634234	2.93	0.5	0.83	9	15	24	M	14in 1600x900	How well people can track multiple objects at once and see how accurate they are.	I think I did pretty well but definitely not perfect.	When the dots started moving I would kind of &quot;unfocus&quot; my eyes and look pretty much at the center of the black background. That way I could track the four dots (not perfectly) in my peripheral vision a little.	They were MacBook Air's on tables, and sometimes they were over the edge of the table by a decent amount.	On at least one of the backgrounds the MacBook was in the center of the table instead of the edge.	Yes, after maybe half of the rounds I started to notice this.	Everything worked fine for me	1600	899	8	16
98.235.134.55	30/January/2019	02:11:59	02:22:56	S33742107	3.94	0.67	0.33	12	6	46	M	15, 1920, 1080	Concentration and how one would keep track of moving objects on different backgrounds.	I think I did okay overall though not great.	I did not use anything specific.  I just tried to keep track of them.	Most of them were of laptops in different office or school settings.	They were different places in a building I think but not sure.	Yes, but I ignored it in favor of the task at hand.	I had no difficulty with it.	1261	1327	6	11
73.194.199.39	30/January/2019	01:23:33	01:37:08	S39338840	3.29	0.56	0.72	10	13	45	M	24&quot; 1920 x 1080	It was looking at how well can track multiple things at once.	I think I did pretty well.	I would fixate on the flashing dots and then do my best to keep focus on all of them at the same time.	They were laptop computers in an office type setting.	I didn't really notice a difference.	I noticed, but it didn't really register as being strange to me at the time.	I had no problems.	1290	730	9	14
209.6.88.103	30/January/2019	12:48:21	12:59:47	S40879624	3.79	0.61	0.39	11	7	22	F	15&quot; 1400x900	sholei	sholei	sholei	sholei	dkhkjdd	yes	akjhsdfhdd	1821	811	8	11
73.197.219.13	30/January/2019	01:58:34	02:10:46	S42459100	5.3	0.61	0.61	11	11	23	F	1366 x 720	The reaction speed of the person taking it.	I think I did about average.	No special strategies were used.	They were just black screens	Sometimes the background image other than the computer would be different such as the living room and other venues.	At first but then I got used to it	None at all	1366	657	8	12
73.138.30.93	30/January/2019	01:26:42	01:38:30	S4609286	2.43	0.22	0.28	4	5	40	M	23 inches 1900x1600	trying to make me cross-eyed	i did half way decent	I didn't notice anything special	office space	i noticed a few but i was concentrating on the task	no	no trouble at all	1920	938	6	12
199.241.125.89	30/January/2019	02:23:37	02:40:06	S46411823	3.14	0.11	0.33	2	6	34	F	13.3-inch (2560 x 1600)	how people focus if there are distractors.	I did moderately well.	No.	There was a laptop.	No. I just paid attention to the circles.	No.	No.	1440	790	8	17
23.89.222.250	30/January/2019	01:27:59	01:57:40	S46566532	1.01	0	0	0	0	35	M	15	its a good experience got to me i have really enjoy	the studies very inteligence question ask to me and i really saying answer for the questions	the strategy are during this period to increase my strengths	that image are very funs to the moment having me	that image insides have that computer mind games	it look like a laptop for using the nessasary to the futures	i really good working here i joyful	1272	672	8	30
69.125.97.156	30/January/2019	01:54:57	02:09:22	S475248	2.35	0.06	0.11	1	2	34	F	19 inches monitor, resolution is 1366x768	I think this was testing how people can track objects depending on the background. The more distracting background and the lack of feedback about my performance made it much harder to complete the task.	I think I did average, I know I missed quite a few correct answers.	I did not use any strategy. I tried my best to follow the circles with my eyes.	The background images were books and regular things found in an office. The circles were presented on a computer screen.	No I did not notice any differences. Everything looked the same to me.	No I did not.	No I did not experience any issues.	1366	657	9	15
69.252.68.102	30/January/2019	01:28:26	01:41:42	S48923125	2.72	0.5	0.61	9	11	28	M	1920x1080, 15inch touch display	IT was checking ones focus.	I think I did pretty good.	If anything forcing myself to zoom my eyes out and focus on the whole board.	A classroom with a computer.	Not really. Only different books	no	no trouble	1536	754	7	13
203.223.191.154	30/January/2019	01:23:27	01:38:16	S55878414	4.49	0.44	0.67	8	12	28	M	15	good study	good	very nice	very good look	good	No	no trouble	1366	657	8	15
73.189.147.24	30/January/2019	01:27:16	01:42:09	S56458497	3.2	0.11	0.06	2	1	55	M	27 1060	The ability to track periferally balls.  Focus and attention over space and time.	Medium.  It was quite hard.  I expect I didn't win any huge award for being the very best.	Yes..finally I figured out I could NOT track 4 objects but I did ok tracking 3 and taking a stab at guessing the 4th.  I did ok with 3 dots.	Background at first was like a landscape or something..peaceful..but the last of them where it was like a computer monitor with  a lot of bright color that contrasted some was very hard.	Yes, the perspective seemed to change..and it seemed like they got &quot;busier&quot; as it went on.	No.. i was too focused on the balls and tracking.. I tried to ignore the background and focus on the task.	No.. I just had trouble tracking the dots but that is part of the task I think.  I'm pretty sure that was the point and NOT a problem with the way you set anything up.  Otherwise things seemed fine.  I promise.	1920	938	8	15
