ip	date	start	end	duration	subject	velocity	accstable	accunstable	numstable	numunstable	age	gender	monitor	whattesting	howwell	strategies	background	bkgdiff	unstable	problems
107.145.113.42	11/January/2019	04:27:26	04:35:22	00:07:56	S11184027	3.58	0.78	0.83	14	15	35	M	27, 1920 x 1080	I really don't know.	I think I did okay.	No, not really, just watching.	The first one was an outdoor back ground, the second was an office/school room.	It moved during the second round.	No. I didn't really care.	No.
45.36.89.164	11/January/2019	04:54:01	05:02:20	00:08:19	S12294199	2.72	0.5	0.56	9	10	40	F	20inch 1080-1920	I think how well we remember dots.	Pretty well.	None	Computer monitor and desk	None	No	No
76.107.34.15	11/January/2019	05:34:19	05:43:46	00:09:27	S14878434	1.01	0.72	0.56	13	10	40	M	"17"""	REMEMBERING PATTERNS	I DID OKAY	NO	A COMPUTER MONITOR	NO	NO	NO
68.50.112.157	11/January/2019	04:26:36	04:39:30	00:12:54	S15012073	2.43	0.72	0.83	13	15	33	M	15.6 and 1366x768	I think it was testing to see how well a person could track the 4 dots at one time in variable types of movements and speeds.	I think I did a little above average.	I tried to focus on the four dots and it felt like tracking certain dots while trying to watch other dots with each individual eye almost  was occurring at times or it was an illusion that this was happening.	The one background was black and the other appeared to be viewing it on a laptop on a desk in a classroom.	I did not notice any differences in the backgrounds other then the two I listed before.	no	I did not experience any trouble.
173.25.25.86	11/January/2019	04:14:53	04:29:29	00:14:36	S24031114	2.14	0.78	0.78	14	14	34	F	15.6inches, 1366x768	I think it was testing if we would be distracted by a busier looking background or if we could continue to focus with the same intensity.	I think I did well.	I didn't notice myself using any strategies, no.	The background image was a laptop sitting on a table and sometimes a laptop on a table and a box of some sort sitting underneath.	I noticed that sometimes there was a box on the floor and sometimes there wasn't.	No, I didn't	No, I didn't experience any difficulties.
70.176.4.129	11/January/2019	04:08:51	04:19:59	00:11:08	S28268388	1.99	0.83	0.94	15	17	56	F	"19"", 1280x720"	I'm not sure maybe visual appreciation	I think I got about 90% correct	No strategies except don't focus on single objects	The image of one of the backgrounds was an office or lab	I didn't notice too much difference	No it looked like an office	NO
24.61.204.167	11/January/2019	04:52:51	05:02:22	00:09:31	S34587128	1.49	0.22	0.06	4	1	52	M	15 INNCHES 1080P	iT WAS FUN. iT MADE ME THINK.	vERY BAD.	tried to follow the first one the most.	A LAPTOP AND TABLE.	NO	yES	NONE AT ALL,
72.231.143.170	11/January/2019	05:07:44	05:28:03	00:20:19	S4483006	2.55	0.56	0.44	10	8	33	F	Im not sure, I have a dell laptop i am currently using, maybe a 12 inch screen	Im not sure, memory?	I think I did pretty well.	no	I dont remember the first, I just remember one of the backgrounds was a laptop screen in what looked like a bedroom	no	not at all	no
71.195.32.18	11/January/2019	04:12:48	04:26:29	00:13:41	S44912965	6.37	0.72	0.89	13	16	40	M	13&quot;, I don't know	I don't know	I think I did pretty well.	I just tried to stare at the center and keep my focus on the 4 dots	A cubicle with light tan desk top. There was a 4 drawer cabinet to the left	I noticed that there were differences, but didn't pay close attention	Yes	No
71.182.194.135	11/January/2019	06:45:30	07:13:56	00:28:26	S471580	3.01	1	1	18	18	38	M	14 inches. not sure of resolution	how I can focus on things moving?	I did pretty good	Just followed the balls	I saw a chalkboard and desk.	Didn't notice	a little bit	No
