ip	date	start	end	subject	velocity	accstable	accunstable	numstable	numunstable	age	gender	monitor	whattesting	howwell	strategies	background	bkgdiff	unstable	problems	calibw	calibh	durationMOT	durationExperiment
104.190.114.208	21/January/2019	02:16:08	02:30:33	S46766650	4.26	0.72	0.33	13	6	39	M	13 inches 1366/768	I think it was meant to see how someone can multitask. Men and women have different abilities in multitasking so this is seeing which is better.	I think overall I did quite well.	No I just followed all dots at all times.	A computer desk I believe was the main background. The other background may have been a paint can but I didn't pay attention to them while focusing on the dots.	No not really as I just focused on the dots.	No I didnt.	No I didn't	1366	657	7	14
151.213.209.36	21/January/2019	02:14:37	02:34:03	S35346714	1.9	0.22	0.22	4	4	61	M	27&quot;, 1920 x 1080	Movements of selected objects with different speeds along with several non-target objects moving at the same time. Testing memory for final movements of selected objects.	I think I did fair, I would imagine I got somewhere around 50-60 percent correct.	I could not remember the locations of all 4 of the objects so I just tried to focus on 1 object at a time. I then tried to focus on 2 objects hoping I would get at least 50% correct.	The 1st background image I believe was a landscape. The second background was the laptop screen of a &quot;Mac-Air&quot; laptop.	Not really paying that much attention to the background images for changes.	I did NOT notice this at all. I was actually focusing on the brand of laptop.	All loaded fine in Chrome Browser - cheers	1745	853	8	20
161.129.68.67	21/January/2019	02:23:42	02:46:06	S82859495	1.28	0.5	0.39	9	7	40	F	1366x662	nice very interested study memory game for me.	nice very interested	careful looking this part so very easy to this task.	images is very nice	different colors	system is unstable	nice experience	1366	664	9	23
162.251.221.196	21/January/2019	02:10:06	02:20:37	S65772682	3.3	0.61	0.72	11	13	38	F	17&quot;, 1280 x 768, 0.2893 mm	I don't know.	I think I did terrible.	No, I just tried to keep up with the dots.	There were two bedroom scenes.	They were different bedroom scenes, one was a brown color and the other was a blue.	No.	I had no problems.	1600	789	7	10
172.255.125.129	21/January/2019	02:42:06	02:59:10	S44761170	1.97	0.17	0.28	3	5	40	F	1366x662	nice very interested study memory game	i like very much very interested	memory game careful watching this image	nice very interested	different colors	system is unstable	nice experiment	1366	662	9	17
172.72.2.49	21/January/2019	02:14:49	02:24:53	S16502536	2.72	0.83	0.89	15	16	29	M	17 inch monitor, 1920*1080	How a user can track moving objects, and ignore non important data.	I think I did fairly well.	Not really. Just paying attention.	The background images mostly appeared to be offices. There were desks, computers, etc.	There were a few differences, but for the most part they followed the same idea: offices.	No, I didn't.	No.	1536	723	6	10
173.68.205.60	21/January/2019	02:56:15	03:10:36	S42840303	3.44	0.44	0.17	8	3	32	M	22&quot; 1920x1080	Difficult to say what the experiment was testing, but I assume you wanted to see if there were differences in concentration in a natural environment versus concentration in an artificial environment. Positioning of the laptop may have also acted as a distraction.	I did fairly well in the initial rounds, but my performance suffered greatly during the second part of the study.	I tried to follow groups of circles as closely as possible.	One background appeared to be of a forest and lake while the second background appeared to be of a classroom or lab.	One was a natural environment and the second one was man-made.	Yes	No issues	1920	969	7	14
174.16.57.172	21/January/2019	02:21:28	02:36:24	S36920181	3.12	0.44	0.72	8	13	48	M	27&quot; 1920x1080	If people can focus on more than one object at a time.	I think I did okay.	I tried to see the dots I was supposed to pay attention to as one object and not get distracted by the movement of individual dots.	They were work space scenes.	I think one was a machine shop and another was an office.	No.	N/A	1920	948	7	15
174.56.169.58	21/January/2019	02:12:57	02:28:08	S50148266	3.63	0.67	0.78	12	14	42	M	15.6&quot; / 1366 x 768	Ability to track objects, obviously. Considering the background image changes, probably something else to do with if that impacted that ability.	If you'd asked me before hand, I'd say that I'd do terribly at such a task, but based on how well I did when there was feedback, I think I actually did ok in general.	When the circles flashed, if there was a group near each other, I think I tried to treat them as such -- at least until they got away from each other.	There was a landscape scene with a lake and there was a laptop (such that the working area was that laptop's screen) in a classroom, I guess -- blackboard, printer in the background. Those are the only two I really paid attention to.	I already described all that I noticed of any of the images.	Nope.	No problems.	1366	768	6	16
174.85.255.66	21/January/2019	04:48:13	04:57:38	S70089085	3.87	0.61	0.72	11	13	24	F	1920x1080	Seeing what people think	I think I did okay	Nope, just watched them blink and followed them	one image was of a pond/lake with trees around it and then the other was an office with a chalk board and under a desk there was cat litter	Nope	This looked like it might fall off that edge	Nope, no troubles at all	1918	978	5	9
18.30.4.153	19/January/2019	08:36:27	08:44:43	S97873879	2.93	0.72	0.61	13	11	35	F	2000x1000	attention	i think i did okay	No	office scenes	I'm not sure	no	no	1914	1074	5	8
