ip	date	start	end	subject	velocity	accstable	accunstable	numstable	numunstable	age	gender	monitor	whattesting	howwell	strategies	background	bkgdiff	unstable	problems
174.104.99.85	09/January/2019	06:41:29	06:53:03	S13618079	1.49	0.89	0.78	16	14	28	F	2560x1080 pixes	The ability to pay attention to the dots.	I think I did average. I messed up a few of them.	I tried to use my peripheral vision to keep all of the dots in my eye line.	The background looked like a desk area of a library. Possibly at a school. It had a few desks but I didnt pay attention to it much.	I didnt.	no, I paid attention to the screen.	Everything worked as intended.
24.161.5.204	09/January/2019	06:29:06	06:38:02	S16647884	3.51	0.83	0.67	15	12	33	F	17 inches, 100 x 900 pixels	I don't know. Maybe hand eye coordination.	I think it did very well.	I just tried to keep the balls in my periphery.	The background images were of a desk with random items on it.	No.	No.	No.
157.50.45.184	09/January/2019	06:33:58	06:46:38	S18769398	2.72	0.39	0.17	7	3	27	M	6	very complicated	good study	good feel this survey	laptop	four balls cross	very nice laptop	5years experiment
73.166.225.98	09/January/2019	06:27:54	06:38:50	S25123595	3.22	0.56	0.67	10	12	28	F	13.3 inches, 1440 x 900	I am not sure.	I think I did pretty well.	I tried to keep my eyes on all four balls.	The background images were of a laptop on a desk in a classroom.	The background changed a few times but I don't remember what the differences were.	yes	No
73.119.0.86	09/January/2019	07:23:13	07:40:22	S26744450	2.8	0.61	0.67	11	12	44	F	7 inch monitor. I don't know where to find pixels?	memory	I think I did ok.  It was a little nerve racking towards the end.	I thought it was easier to sit a little further back from the screen as opposed to being closer.	The background looked like an office.	Some of them looked and a school office while the other one looked like a classroom.	Yes. It looks as though they were photo shopped in	I did not!
216.57.251.166	09/January/2019	06:23:27	06:36:01	S29937028	3.37	0.61	0.56	11	10	24	F	20 inches and 1920 x 1080 pixels	How distractions influence our ability to focus on main tasks.	I think I got about 75% of the trials right.	No, I just tried following the dots as best as I could.	One of the images was scenery and the other image was of a computer sitting on a table.	No	No	No
184.57.164.219	09/January/2019	07:19:37	07:29:08	S30795348	1.84	0.67	0.72	12	13	25	M	13 inches, unsure of res	I am unsure.	I think I did pretty dang good.	no	It was an office.	no	no	no
67.1.162.73	09/January/2019	06:31:59	06:42:57	S37126769	3.65	0.17	0.17	3	3	29	M	27&quot; 2560x1440	I don't know but it was boring and demeaning.	I think I sucked.	I watched them with my eyes.	I was a mountain then it was a room.	The room changed around.	Yes	N/A
74.243.158.177	09/January/2019	06:32:01	06:46:01	S51794273	2.51	0.67	0.67	12	12	55	M	23, 1980	I think it was testing memory. Also how distracting background is.	I think I did fairly well.	I watched the dots that blinked.	The first one was a forest scene. The second was various office settings.	Some of the office setting changed.	no	I had no trouble.
166.137.252.88	09/January/2019	06:30:01	06:40:02	S58691079	1.2	0.61	0.61	11	11	40	F	15&quot; 680	HOw well people can track mo+vement	I think I did average	None	A computer screen and a mountain painting	Yes one was outside the other was inside	no	no
67.245.90.175	09/January/2019	06:39:27	06:53:54	S60139140	2.22	0.94	0.83	17	15	35	F	24&quot;, 1920x1080	It was testing ability to follow dots in motion.	I think I did well.	I was just trying to concentrate.	The first background image was nice and natural, the other ones were of an office.	I noticed different office pictures being used.	No I did not notice that.	I did not experience any trouble.
184.170.243.133	09/January/2019	06:16:33	06:29:21	S61614325	1.36	0.61	0.44	11	8	29	M	21	concentration	quite intersting	mind free	black	no	yes	fast moving
