subject	trial	condition	bkgid	numcorrect	rt1	rt2	rt3	rt4
S11184027	1	unstable	5	4	848	458	442	682
S11184027	2	stable	1	4	709	634	660	471
S11184027	3	unstable	4	4	498	606	481	541
S11184027	4	stable	3	4	745	611	768	575
S11184027	5	unstable	6	4	895	365	611	540
S11184027	6	stable	2	4	944	736	385	545
S11184027	7	unstable	6	4	555	504	526	644
S11184027	8	stable	3	3	851	480	611	644
S11184027	9	stable	2	4	1122	597	479	637
S11184027	10	unstable	5	4	755	565	597	599
S11184027	11	unstable	4	4	1075	1248	644	557
S11184027	12	stable	1	3	735	450	386	467
S11184027	13	unstable	6	4	978	411	628	837
S11184027	14	stable	1	4	766	806	567	558
S11184027	15	stable	2	3	604	496	397	463
S11184027	16	unstable	5	3	584	488	504	921
S11184027	17	stable	3	4	490	434	582	519
S11184027	18	unstable	4	4	536	643	347	358
S11184027	19	unstable	6	3	527	442	666	644
S11184027	20	stable	3	4	1127	743	559	599
S11184027	21	stable	2	3	491	666	349	441
S11184027	22	unstable	5	4	636	463	365	867
S11184027	23	unstable	4	4	712	790	559	602
S11184027	24	stable	1	4	541	898	472	405
S11184027	25	unstable	5	4	770	380	395	511
S11184027	26	stable	2	4	730	782	381	557
S11184027	27	stable	3	4	562	357	558	294
S11184027	28	stable	1	4	609	379	449	658
S11184027	29	unstable	4	3	497	359	558	797
S11184027	30	unstable	6	4	644	382	346	653
S11184027	31	stable	1	4	464	401	342	510
S11184027	32	stable	2	4	568	1285	389	649
S11184027	33	unstable	6	4	494	471	451	372
S11184027	34	unstable	4	4	596	386	604	544
S11184027	35	stable	3	4	627	706	720	489
S11184027	36	unstable	5	4	693	603	449	698
S12294199	1	stable	3	3	850	886	649	839
S12294199	2	stable	2	3	975	737	711	1080
S12294199	3	unstable	5	4	1139	679	513	792
S12294199	4	unstable	4	4	949	665	543	720
S12294199	5	stable	1	4	830	512	1055	568
S12294199	6	unstable	6	4	1139	617	639	832
S12294199	7	stable	1	4	1270	769	631	928
S12294199	8	stable	2	4	962	734	953	1353
S12294199	9	unstable	6	3	1082	680	992	640
S12294199	10	unstable	4	3	824	697	704	696
S12294199	11	unstable	5	4	1208	576	568	512
S12294199	12	stable	3	3	662	664	919	680
S12294199	13	unstable	5	4	814	641	680	656
S12294199	14	stable	2	3	785	721	1088	760
S12294199	15	unstable	6	3	800	570	759	727
S12294199	16	unstable	4	4	966	592	657	431
